"pair.no" "ind1.id" "ind2.id" "group" "trioml" "wang" "lynchli" "lynchrd" "ritland" "quellergt" "dyadml"
"231" 231 "916" "925" "9192" 0 -0.057 -0.0595 -0.0184 -0.0392 -0.03 0
"232" 232 "916" "923" "9192" 0 -0.0482 -0.0484 -0.0348 -0.0429 -0.0325 0
"233" 233 "916" "925" "9192" 0 -0.057 -0.0595 -0.0184 -0.0392 -0.03 0
"234" 234 "916" "987" "9198" 0 -0.1199 -0.1349 -0.014 -0.0356 -0.0685 0
"235" 235 "916" "988" "9198" 0 -0.1224 -0.1339 -0.0139 -0.0283 -0.0605 0
"236" 236 "916" "982" "9198" 0 -0.0811 -0.085 -0.0049 -0.0137 -0.0268 0
"237" 237 "916" "983" "9198" 0 -0.0849 -0.0893 -0.007 -0.0134 -0.0332 0
"238" 238 "916" "468" "9146" 0 -0.0927 -0.0935 -0.0231 -0.0337 -0.041 0
"239" 239 "916" "471" "9147" 0 -0.1064 -0.1052 -0.0192 -0.0302 -0.0405 0
"240" 240 "916" "468" "9146" 0 -0.0927 -0.0935 -0.0231 -0.0337 -0.041 0
"241" 241 "916" "984" "9198" 0 -0.0854 -0.0935 -0.0117 -0.0248 -0.0345 0
"242" 242 "916" "473" "9147" 0 -0.0637 -0.0648 0.3921 0.5599 -0.0269 0
"243" 243 "916" "1089" "9110" 0 -0.0965 -0.093 -0.0163 -0.0297 -0.0443 0
"244" 244 "916" "466" "9146" 0 -0.0821 -0.0776 -0.0278 -0.0407 -0.0511 0
"245" 245 "916" "1088" "9110" 0 -0.0508 -0.0521 -0.0318 -0.0432 -0.035 0
"246" 246 "916" "1085" "9110" 0 -0.0883 -0.0834 -0.0256 -0.0478 -0.0528 0
"247" 247 "916" "1088" "9110" 0 -0.0508 -0.0521 -0.0318 -0.0432 -0.035 0
"248" 248 "916" "465" "9146" 0 -0.0949 -0.0882 -0.0199 -0.041 -0.0531 0
"249" 249 "916" "1085" "9110" 0 -0.0883 -0.0834 -0.0256 -0.0478 -0.0528 0
"250" 250 "916" "477" "9147" 0 -0.0693 -0.0585 -0.0371 -0.072 -0.0765 0
"251" 251 "916" "1093" "9110" 0 -0.0883 -0.0781 -0.0944 -0.0889 -0.0994 0
"252" 252 "916" "457" "9145" 0 -0.0503 -0.0494 0.4541 0.521 -0.0647 0
"253" 253 "916" "1093" "9110" 0 -0.0883 -0.0781 -0.0944 -0.0889 -0.0994 0
"254" 254 "916" "1084" "9110" 0 -0.0714 -0.06 -0.074 -0.0671 -0.0689 0
"255" 255 "916" "1093" "9110" 0 -0.0883 -0.0781 -0.0944 -0.0889 -0.0994 0
"256" 256 "916" "477" "9147" 0 -0.0693 -0.0585 -0.0371 -0.072 -0.0765 0
"257" 257 "916" "1084" "9110" 0 -0.0714 -0.06 -0.074 -0.0671 -0.0689 0
"258" 258 "916" "457" "9145" 0 -0.0503 -0.0494 0.4541 0.521 -0.0647 0
"259" 259 "916" "477" "9147" 0 -0.0693 -0.0585 -0.0371 -0.072 -0.0765 0
"260" 260 "916" "457" "9145" 0 -0.0503 -0.0494 0.4541 0.521 -0.0647 0
"261" 261 "916" "1084" "9110" 0 -0.0714 -0.06 -0.074 -0.0671 -0.0689 0
"262" 262 "916" "451" "9145" 0 -0.0611 -0.0638 -0.0099 -0.0156 -0.0255 0
"263" 263 "916" "464" "9146" 0 -0.0553 -0.0553 -0.0059 -0.005 -0.0129 0
"264" 264 "916" "472" "9147" 0 -0.082 -0.0871 -0.0132 -0.0353 -0.0491 0
"265" 265 "916" "1091" "9110" 0 -0.1017 -0.1009 -0.0196 -0.0436 -0.0625 0
"266" 266 "916" "448" "9144" 0 -0.0565 -0.0579 -0.0053 -0.0096 -0.0258 0
"267" 267 "916" "461" "9146" 0 -0.055 -0.0553 -0.0048 -0.0052 -0.006 0
"268" 268 "920" "921" "9292" 0 0.4751 0.479 0.4 0.5211 0.4895 0
"269" 269 "920" "922" "9292" 0 -0.0337 -0.0361 -0.0202 -0.0277 -0.0092 0
"270" 270 "920" "923" "9292" 0 -0.0333 -0.0324 -0.0287 -0.0243 8e-04 0
